Comments,Date,Disposition,Location,Occured,Reported,UCPDI
"Two unknown suspects, one armed with a handgun, attempted to take victim's car, but could not start the vehicle / Suspects took victim's phone and fled on bicycles / CPD case JE333867 / See below",Information / Armed Robbery,CPD/Arrest,50th St. between Kenwood & Dorchester (Public Way),8/11/21 12:55 PM,8/11/21 1:21 PM,2021-030239
"Two suspects, one armed with a handgun, took victim's Toyota RAV 4 / UCPD officer observed and followed vehicle that crashed / Suspects fled on foot and were arrested by CPD officers / Also identified as suspects in above robbery",Assist Other Agency / Aggravated Vehicular Hijacking,CPD/Arrest,4584 S. Oakenwald (Alley),8/11/21 1:21 PM,8/11/21 1:21 PM,21-00474
Unknown person used force to enter attendant booth in parking lot and take property / CPD case,Information / Burglary,CPD,1538 E. 54th St. (Parking Lot),8/8/21 5:00 AM to 5:45 AM,8/11/21 5:35 PM,2021-030257
A person standing on the sidewalk off-campus heard two gunshots and felt pain / Victim transported to UCMED by friends / CPD case JE334477,Information / Aggravated Battery,CPD,63rd St. & Drexel (Public Way),8/12/21 12:15 AM,8/12/21 12:17 AM,2021-030299
Unknown person(s) discharged firearm off-campus / 4 shell casings found / No injuries or property damage found / CPD case JE334526,Information / Unlawful Discharge of Firearm,CPD,5238 S. Drexel (Public Way),8/12/21 1:58 AM,8/12/21 1:58 AM,2021-030302
Unknown person(s) discharged firearm off-campus / 3 shell casings found / No injuries or property damage found / CPD case JE334544,Information / Unlawful Discharge of Firearm,CPD,5532 S. Cornell (Public Way),8/12/21 2:20 AM,8/12/21 2:20 AM,2021-030303
Semi-truck backing to loading dock struck corner of attendant booth / No damage to booth / Truck scratched,Damage to Property,Closed,5835 S. Cottage Grove (UCM Loading Dock),8/12/21 8:55 AM,8/12/21 9:15 AM,21-00475
Unknown person entered off-campus apartment building lobby and took mail / Referred to CPD,Information / Theft,Referred,Hyde Park Blvd. between 51st & 52nd,8/12/21 11:50 AM,8/12/21 7:31 PM,2021-030411
Patient and visitor involved in argument causing a disturbance / Peace restored,Information / Disturbance,Closed,5700 S. Maryland (CCD),8/13/21 2:00 AM,8/13/21 2:04 AM,21-00476
A  patient struck a UCM security officer / Arrested by UCPD / Charged with felony,Battery,Arrest,5721 S. Maryland (Comer Hospital),8/13/21 12:40 PM,8/13/21 12:41 PM,21-00477
A suspect took a lawnmower from a shed off-campus / Referred to CPD,Information / Theft,Referred,Blackstone between 57th & 58th,8/13/21 3:45 PM,8/13/21 3:45 PM,2021-030511
A football kicked from UC practice field struck and cracked the windshield of a car parked on the street,Damage to Property,Closed,5600 S. Maryland (Public Way),8/13/21 3:45 PM,8/13/21 3:47 PM,21-00478
3 unknown suspects took merchandise from off-campus retail store without paying / CPD case,Information / Theft,CPD,5228 S. Lake Park (Store),8/13/21 6:10 PM,8/13/21 6:14 PM,2021-030526
Disturbance between patient and staff member / Peace restored,Information,Closed,5815 S. Maryland (Mitchell Hospital),8/14/21 9:05 AM,8/14/21 9:11 AM,21-00479
Sick person on the sidewalk off-campus was transported by CFD EMS to UCMED for evaluation and treatment,Medical Call,Closed,5400 S. Ridgewood (Public Way),8/14/21 3:45 PM,8/14/21 3:45 PM,21-00480
Person suffered gunshot wound to the chest off-campus / CPD case JE337556,Information / Aggravated Battery,CPD,816 E. 54th St.,8/14/21 8:30 PM,8/14/21 8:30 PM,2021-030640
Victim suffered multiple gunshot wounds on the sidewalk off-campus / CPD case JE337755,Information / Aggravated Battery,CPD,4624 S. Ellis (Public Way),8/15/21 1:00 AM,8/15/21 2:07 AM,2021-030655
Report of a gear box problem in Pomodoro statue / Facilities notified,Information,Closed,5730 S. Ellis (Crerar Quad),8/10/21 to 8/12/21 12:01 AM to 9:30 AM,8/13/21 12:06 PM,21-00481
Injured person transported to UCMED for evaluation and treatment,Medical Call,Closed,5118 S. Dorchester (Public Way),8/15/21 10:37 AM,8/15/21 10:37 AM,21-00482
A person was approached from the rear by an unknown suspect who displayed a handgun and demanded the victim�s property /  The victim handed his backpack to the suspect who fled to a waiting white vehicle that drove northbound on University Avenue.,Armed Robbery,Open,1156 E. 57th St. (Public Way),8/15/21 12:20 PM,8/15/21 12:20 PM,21-00483
Unsecured bicycle taken from front steps of building,Theft,Open,5735 S. University (Calvert House),8/15/21 5:00 PM to 6:15 PM,8/15/21 6:23 PM,21-00484
Unauthorized individual ignored repeated written and verbal warnings and was arrested for trespass by UCPD,Criminal Trespass to Land,Arrest,1126 E. 59th St. (Social Science Research),8/16/21 1:00 PM,8/16/21 1:00 PM,21-00485
Patient reports loss of belongings while in the hospital,Lost Property,Closed,5700 S. Maryland (CCD),8/5/21 to 8/16/21 12:00 PM to 12:50 PM,8/16/21 12:57 PM,21-00486
Number generated in error,Void,Void,Void,Void,Void,21-00487
Trunk and door of parked vehicle damaged,Criminal Damage to Vehicle,Open,1207 E. Midway Pl. (Public Way),8/16/21 10:30 AM to 4:30 PM,8/16/21 4:37 PM,21-00488
Unknown person left harassing voice messages on victim's phone,Information,Closed,5807 S. Woodlawn (Booth School),8/15/21 7:25 PM to 7:30 PM,8/17/21 1:00 PM,21-00489
Person walking on the sidewalk off-campus pushed to the ground by unknown person / Referred to CPD,Information / Battery,Referred,5125 S. Ingleside (Public Way),8/17/21 1:15 AM,8/17/21 3:20 PM,2021-030889
"A patient, without provocation, struck three staff members with fists / Suspect was restrained by UCM Public Safety and other staff members / Suspect not arrested due to mental state",Battery,Ex. Cleared,5730 S. Drexel (Comer Hospital),8/17/21 5:30 PM,8/17/21 6:36 PM,21-00490
Person standing in parking lot was wounded when unknown person(s) fired numerous rounds from a passing white SUV / CPD case,Information / Aggravated Battery,CPD,5551 S. Shore Dr. (Parking Lot),8/18/21 12:45 AM,8/18/21 12:50 AM,2021-030956
"While transporting a subject for mental health evaluation, suspect kicked and shattered the rear window of the vehicle / Issued a summons and transported to UCMED for mental health exam",Criminal Damage to Vehicle,Arrest,5500 S. Cornell (Public Way),8/18/21 2:21 PM,8/18/21 2:21 PM,21-00491
Two unknown suspects pushed victim to the ground off-campus and took victim's phone before fleeing to a waiting car / CPD case,Information / Robbery,CPD,5543 S. Kimbark (Public Way),8/18/21 10:15 PM,8/18/21 10:26 PM,2021-031068
During a verbal disagreement one patron sprayed two patrons with chemical spray / Suspect arrested by UCPD,Battery,Arrest,1400 E. 53rd St. (Restaurant),8/19/21 12:55 AM,8/19/21 1:06 AM,21-00492
Student physically assaulted by another student,Battery,Open,6300 S. University (Woodlawn Charter School),8/17/21 10:35 AM,8/19/21 2:43 PM,21-00493
Window in 2nd floor stairway shattered / Cause unknown,Damage to Property,Closed,5656 S. Maryland (Parking Garage B),8/19/21 7:31 PM,8/19/21 7:31 PM,21-00494
CFD EMS found suspect narcotics and turned contraband over to UCPD for proper disposal,Found Narcotics,Closed,5656 S. Maryland (UCMED),8/19/21 8:54 PM,8/19/21 8:54 PM,21-00495
Unauthorized person found sleeping in building hallway / Subject warned about trespassing and released,Information,Closed,6022 S. Drexel (Midway RH),8/20/21 9:00 AM,8/20/21 9:04 AM,21-00496
Secured bicycle taken from bike rack,Theft,Open,5700 S. Maryland (CCD Bike Rack),8/13/21 to 8/14/21 4:45 PM to 7:00 AM,8/20/21 3:12 PM,21-00497
Unknown person(s) unlawfully entered private apartment off-campus and took property / Referred to CPD,Information / Burglary,Referred,Maryland between 54th & 55th,8/21/21 to 8/22/21 10:00 PM to 1:00 AM,8/22/21 1:58 PM,2021-031483
Unknown person(s) discharged a firearm / Cars parked in the area sustained damage / No injuries reported / CPD case JE346715,Information / Criminal Damage to Property,CPD,6100 S. Stony Island,8/23/21 1:10 AM,8/23/21 1:11 AM,2021-031534
Patient struck staff member / Prosecution declined,Battery,Ex. Cleared,5721 S. Maryland (Comer Hospital),8/23/21 2:20 PM,8/23/21 2:27 PM,21-00498
"UCPD notified Alsip, IL PD of a complaint of a sexual assault that occurred in Alsip on 8-23-21 / Alsip PD case 21-02751",Information,"Alsip, IL PD",5656 S. Maryland (UCMED),8/23/21 time unknown,8/24/21 9:12 PM,21-00499
"During an argument between ex-boyfriend and girlfriend, victim was struck in the face / Victim declined prosecution",Domestic Battery,Ex. Cleared,5700 S. Maryland (CCD),8/25/21 10:30 AM,8/25/21 10:35 AM,21-00500
Secured bicycle taken from off-campus bike rack / Referred to CPD,Information / Theft,Referred,1330 E. 53rd St. (Public Way),8/24/21 to 8/25/21 6:00 PM to 1:00 PM,8/25/21 1:11 PM,2021-031835
Unknown person(s) entered victim's off-campus apartment and took a TV / CPD case,Information / Burglary,CPD,Maryland between 53rd & 54th,5/21/21 to 8/25/21 12:00 PM to 4:00 PM,8/25/21 4:53 PM,2021-031860
Unknown person entered victim's unsecured car off-campus and took a cell phone from the seat / Referred to CPD,Information / Theft,Referred,5300 S. Kenwood (Public Way),8/25/21 7:40 PM to 7:50 PM,8/25/21 8:47 PM,2021-031884
"Unknown suspect entered off-campus store, implied a weapon and took proceeds from the cash register before fleeing / CPD case",Information / Aggravated Robbery,CPD,55th between Cornell & Hyde Park,8/25/21 9:45 PM,8/25/21 9:46 PM,2021-031889
Unknown person discharged a firearm off-campus / Shell casing found / No injuries or property damage reported / CPD case,Information / Shots Fired,CPD,4700 S. Drexel (Public Way),8/25/21 11:04 PM,8/25/21 11:04 PM,2021-031897
"2 unknown suspects, 1 armed with a knife, attempted to force victim from parked vehicle / Victim drove off / CPD case JE350193",Information / Attempt Armed Robbery,CPD,5141 S. Hyde Park (Public Way),8/25/21 11:45 PM,8/25/21 11:47 PM,2021-031901
"Unknown person took property from an unsecured, unattended vehicle parked on the street",Theft from Motor Vehicle,Open,1205 E. 58th St. (Public Way),8/25/21 3:30 PM,8/26/21 12:21 AM,21-00501
Secured bicycle taken from bike rack,Theft,Open,1407 E. 60th St. (Chicago Theological Seminary Bike Rack),8/23/21 9:00 AM to 1:00 PM,8/26/21 11:13 AM,21-00502
Catalytic converter taken from car parked on the street off-campus / Referred to CPD,Information / Theft from Motor Vehicle,Referred,5330 S. Ingleside (Public Way),8/25/21 to 8/26/21 5:00 PM to 3:00 PM,8/26/21 3:53 PM,2021-031994
Unsecured bicycle taken from rear yard of off-campus building / Referred to CPD,Information / Theft,Referred,Ellis between 54th & 55th,8/25/21 to 8/26/21 5:00 PM to 11:00 AM,8/26/21 5:20 PM,2021-032006
Tire and seat taken from bicycle secured to bike rack off-campus / Referred to CPD,Information / Theft,Referred,Greenwood between 53rd & 54th,8/26/21 2:45 PM to 5:15 PM,8/26/21 7:52 PM,2021-032022
Unknown motorist struck parked vehicle and fled,Traffic Crash / Hit & Run,Open,5225 S. Cottage Grove (Public Way),8/26/21 to 8/27/21 9:30 PM to 10:50 AM,8/27/21 11:00 AM,21-00504
"3 suspects, 1 armed with a handgun took an iPhone from a victim walking on the sidewalk off-campus / CPD case JE351772",Information / Armed Robbery,CPD,5525 S. Everett (Public Way),8/27/21 12:15 AM,8/27/21 3:31 PM,2021-032130
Unknown motorist struck parked vehicle and fled,Traffic Crash / Hit & Run,Open,5900 S. Woodlawn (Public Way),8/24/21 8:00 AM to 4:45 PM,8/24/21 6:47 PM,21-00503
"3 suspects, 1 armed with a handgun took property from two victims walking on the sidewalk off-campus before fleeing to a waiting vehicle / CPD case",Information / Armed Robbery,CPD,University between 54th & 55th,8/27/21 9:30 PM,8/27/21 10:11 PM,2021-032159
Unknown suspect took cell phone from victim's rear pocket and fled on foot / Referred to CPD,Information/ Theft from Person,Referred,5048 S. Woodlawn (Public Way),8/28/21 7:15 PM,8/28/21 7:25 PM,2021-032228
UCPD officer observed motorist strike another car and flee the scene / Property damage only / No injuries reported at the time,Traffic Crash / Hit & Run Property Damage,Open,1500 E. 53rd St. (Public Way),8/29/21 1:06 AM,8/29/21 1:06 AM,21-00505
Motorist backed into an unoccupied UC owned vehicle / No injuries reported,Traffic Crash / Property Damage,Closed,5657 S. Maryland (Street),8/29/21 4:42 AM,8/29/21 4:42 AM,21-00506
UCPD officer arrested a motorist for DUI,DUI,Arrest,5617 S. Maryland,8/29/21 6:15 AM,8/29/21 6:15 AM,21-00507
Unauthorized subject ignored previous warnings and was arrested by UCPD for trespassing to off-campus private building,Criminal Trespass to Land,Arrest,5308 S. Hyde Park,8/30/21 8:38 AM,8/30/21 8:38 AM,21-00509
"Delayed report -Three suspects, two armed with handguns, took property from two victims walking on the sidewalk off-campus / Suspects fled to a waiting black or gray SUV / CPD case JE353874",Information / Armed Robbery,CPD,5100 S. Cornell (Public Way),8/29/21 7:30 AM,8/30/21 3:10 PM,2021-032443
A handgun was found among the belongings of a patient by medical staff / Turned over to UCPD / Weapon to be turned over to CPD,Found Property,Closed,5700 S. Maryland (CCD),8/31/21 9:00 PM,8/31/21 10:29 PM,21-00510
UCPD officer found small plastic baggie containing white powder / Inventoried at UCPD for proper disposal,Found Property,Closed,5800 S. Kimbark (Public Way),9/1/21 8:30 AM,9/1/21 10:42 AM,21-00511
An individual took merchandise from the store without paying / CPD case JE358622,Information / Theft,CPD,1554 E. 55th St. (Walgreens),9/2/21 3:35 AM,9/2/21 3:35 AM,2021-032786
Information that a student might have a firearm in the school / No weapons found,Information,Closed,707 E. 37th St. (Donoghue School),9/2/21 11:50 AM,9/2/21 1:07 PM,21-00512
"DSS was notified by a Campus Security Authority that an undisclosed victim reported she was sexually assaulted by an acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident.",Criminal Sexual Assault,No Investigation Referred to Title IX Coordinator,5500 S. University (Campus North RH),2019 date and  time not specified,9/2/21 3:22 PM,CSA Report    21-010
20 feet of metal rain gutters taken from building by unknown person(s),Theft,Open,1156 E. 57 St. (Disciples Divinity House),8/27/21 to 8/29/21 12:00 AM to 12:00 AM,9/2/21 3:19 PM,21-00513
Staff members reported verbal assault by a subject / Elements of a crime lacking,Assault,Unfounded,5656 S. Maryland (UCMED),9/3/21 7:53 AM,9/3/21 7:53 AM,21-00514
Unattended wallet left on desktop in unsecured cubicle taken by unknown person,Theft,Open,900 E. 57th St. (Knapp Center),9/3/21 11:55 AM to 12:30 PM,9/3/21 1:39 PM,21-00515
Relative concerned about care provided to patient,Information,Closed,5700 S. Maryland (CCD),8/30/21 to 9/3/21 10:00 AM to 2:30 PM,9/3/21 12:56 PM,21-00516
Report documenting improper behavior of a student,Information,Closed,6300 S. University (Woodlawn Charter School),9/3/21 1:40 PM,9/3/21 2:00 PM,21-00517
Unknown suspect forcibly took backpack from person walking on the sidewalk off-campus and sprayed victim with a chemical solution / CPD case,Information / Armed Robbery,CPD,5225 S. Ingleside (Public Way),9/3/21 2:15 PM,9/3/21 2:19 PM,2021-032936
Sick person transported to UCMED by CFD EMS for evaluation and treatment,Medical Call,Closed,821 E. 55th St. (Stagg Field),9/4/21 4:40 PM,9/4/21 4:44 PM,21-00518
Unknown suspect gained unlawful entry to victim's off-campus apartment and took property / Referred to CPD,Information / Burglary,CPD,58th St. between Kenwood & Dorchester,9/4/21 4:15 AM,9/4/21 9:10 PM,2021-033101
"Suspect, armed with a handgun, took a wallet and cell phone from a person walking on the sidewalk off-campus / CPD case JE361851",Information / Armed Robbery,CPD,825 E. 52nd St. (Public Way),9/4/21 9:30 PM,9/4/21 9:42 PM,2021-033103
Unknown person(s) took vehicle from parking structure / Unoccupied vehicle recovered by CPD outside of UCPD patrol area,Motor Vehicle Theft,Open,5840 S. Maryland (Parking Structure A),9/5/21 2:30 AM to 2:45 AM,9/5/21 3:37 AM,21-00519
"Unknown suspect unlawfully entered off-campus apartment / Occupant confronted suspect, who dropped victim's property and fled / CPD case",Information / Burglary,CPD,Ridgewood between 54th & 55th,9/5/21 5:50 AM,9/5/21 6:22 AM,2021-033149
Unknown suspect unlawfully entered off-campus apartment and took victim's property / Referred to CPD,Information / Burglary,CPD,54th St. between Woodlawn and Kimbark,9/5/21 1:30 AM to 7:00 AM,9/5/21 1:39 PM,2021-033181
Boyfriend struck girlfriend during the course of an argument and fled / UCPD officer located and arrested the suspect,Domestic Battery,Arrest,5721 S. Maryland (Comer Hospital),9/5/21 5:35 PM,9/5/21 5:36 PM,21-00520
Two suspects riding bicycles snatched a phone from the hand of a person on the sidewalk off-campus / UCPD officers located and detained the suspects and recovered victim's phone / Victim declined prosecution,Theft from Person,Ex. Cleared,1402 E. 55th St. (Public Way),9/6/21 6:43 PM,9/6/21 6:43 PM,21-00521
